sku,claveProducto,qty,price,group_price:Lista 2,group_price:Lista 3,group_price:Lista 4,group_price:Lista 5,group_price:Lista 6,group_price:Lista 7,use_config_backorders,status
02427,300000398,6.00,5077.80,5179.90,0.00,0.00,0.00,0.00,0.00,1,1
SH-154250,300000399,1.00,2766.60,2766.60,0.00,0.00,0.00,0.00,0.00,1,1
04706,300000400,1.00,3297.00,3363.30,0.00,0.00,0.00,0.00,0.00,1,1
01951,300000401,8.00,1971.20,2010.80,0.00,0.00,0.00,0.00,0.00,1,1
03527,300000402,2.00,6611.70,6744.60,0.00,0.00,0.00,0.00,0.00,1,1
662-423,300000403,6.00,528.40,528.40,0.00,0.00,0.00,0.00,0.00,1,1
697-421,300000405,0.00,698.70,698.70,0.00,0.00,0.00,0.00,0.00,1,1
S-259621,300000406,1.00,106.30,106.30,0.00,0.00,0.00,0.00,0.00,1,1
651-071,300000407,0.00,829.40,829.40,0.00,0.00,0.00,0.00,0.00,1,1
662-521,300000408,4.00,528.40,528.40,0.00,0.00,0.00,0.00,0.00,1,1
580-530,300000409,17.00,1002.50,1002.50,0.00,0.00,0.00,0.00,0.00,1,1
B2615970,300000410,10.00,2962.00,3021.60,0.00,0.00,0.00,0.00,0.00,1,1
04971,300000411,2.00,14513.90,14805.80,0.00,0.00,0.00,0.00,0.00,1,1
665-4312,300000412,0.00,698.70,698.70,0.00,0.00,0.00,0.00,0.00,1,1
01445,300000413,2.00,4566.50,4658.30,0.00,0.00,0.00,0.00,0.00,1,1
S-259620,300000414,10.00,105.30,105.30,0.00,0.00,0.00,0.00,0.00,1,1
800-906,300000415,2.00,194.90,194.90,0.00,0.00,0.00,0.00,0.00,1,1
550-260,300000417,0.00,6521.60,6521.60,0.00,0.00,0.00,0.00,0.00,1,1
S-331121V,300000418,24.00,62.10,62.10,0.00,0.00,0.00,0.00,0.00,1,1
S-259623,300000419,10.00,106.30,106.30,0.00,0.00,0.00,0.00,0.00,1,1
800-273,300000420,2.00,2137.80,2137.80,0.00,0.00,0.00,0.00,0.00,1,1
661-421,300000421,2.00,528.40,528.40,0.00,0.00,0.00,0.00,0.00,1,1
S-259627,300000422,6.00,105.30,105.30,0.00,0.00,0.00,0.00,0.00,1,1
106-005,300000424,0.00,226.70,226.70,0.00,0.00,0.00,0.00,0.00,1,1
451-220,300000425,0.00,1207.90,1207.90,0.00,0.00,0.00,0.00,0.00,1,1
107-051,300000426,6.00,2173.80,2173.80,0.00,0.00,0.00,0.00,0.00,1,1
21091,300000427,4.00,1868.90,1906.50,0.00,0.00,0.00,0.00,0.00,1,1
662-315,300000428,24.00,528.40,528.40,0.00,0.00,0.00,0.00,0.00,1,1
01354,300000429,5.00,1093.10,1115.10,0.00,0.00,0.00,0.00,0.00,1,1
611-283,300000430,2.00,2701.40,2701.40,0.00,0.00,0.00,0.00,0.00,1,1
04430,300000431,2.00,355.40,362.60,0.00,0.00,0.00,0.00,0.00,1,1
662-117,300000432,13.00,528.40,528.40,0.00,0.00,0.00,0.00,0.00,1,1
310-383-1,300000433,1.00,1508.00,1508.00,0.00,0.00,0.00,0.00,0.00,1,1
671-210,300000434,4.00,698.70,698.70,0.00,0.00,0.00,0.00,0.00,1,1
661-107,300000435,0.00,528.40,528.40,0.00,0.00,0.00,0.00,0.00,1,1
662-109,300000436,6.00,528.40,528.40,0.00,0.00,0.00,0.00,0.00,1,1
01076,300000437,3.00,19623.40,20018.00,0.00,0.00,0.00,0.00,0.00,1,1
S-140015,300000438,1.00,12.90,12.90,0.00,0.00,0.00,0.00,0.00,1,1
01925,300000439,2.00,592.40,604.30,0.00,0.00,0.00,0.00,0.00,1,1
23818,300000440,10.00,2172.20,2215.80,0.00,0.00,0.00,0.00,0.00,1,1
01927,300000441,3.00,863.90,881.30,0.00,0.00,0.00,0.00,0.00,1,1
S-259710,300000442,0.00,618.20,618.20,0.00,0.00,0.00,0.00,0.00,1,1
700-1024,300000443,0.00,492.90,492.90,0.00,0.00,0.00,0.00,0.00,1,1
700-721,300000444,0.00,30.70,30.70,0.00,0.00,0.00,0.00,0.00,1,1
222-012,300000445,7.00,27.10,27.10,0.00,0.00,0.00,0.00,0.00,1,1
221-012,300000446,6.00,35.10,35.10,0.00,0.00,0.00,0.00,0.00,1,1
10547,300000447,1.00,42110.10,42956.80,0.00,0.00,0.00,0.00,0.00,1,1
01928,300000448,2.00,925.60,944.30,0.00,0.00,0.00,0.00,0.00,1,1
23801,300000450,6.00,1184.90,1208.60,0.00,0.00,0.00,0.00,0.00,1,1
01935,300000451,7.00,14623.20,14917.30,0.00,0.00,0.00,0.00,0.00,1,1
03699,300000452,4.00,2320.30,2366.90,0.00,0.00,0.00,0.00,0.00,1,1
CNC003,300000453,7.00,289.40,289.40,0.00,0.00,0.00,0.00,0.00,1,1
23802,300000454,14.00,414.70,423.00,0.00,0.00,0.00,0.00,0.00,1,1
S-462242,300000457,5.00,2235.00,2235.00,0.00,0.00,0.00,0.00,0.00,1,1
665-1712,300000458,2.00,698.70,698.70,0.00,0.00,0.00,0.00,0.00,1,1
704-277,300000460,1.00,6314.20,6314.20,0.00,0.00,0.00,0.00,0.00,1,1
143-050,300000463,5.00,2976.70,2976.70,0.00,0.00,0.00,0.00,0.00,1,1
23804,300000464,0.00,32.10,32.70,0.00,0.00,0.00,0.00,0.00,1,1
SH-70-260825,300000465,1.00,881.40,881.40,0.00,0.00,0.00,0.00,0.00,1,1
08740,300000466,3.00,592.40,604.30,0.00,0.00,0.00,0.00,0.00,1,1
662-523,300000468,4.00,528.40,528.40,0.00,0.00,0.00,0.00,0.00,1,1
651-040,300000469,17.00,89.90,89.90,0.00,0.00,0.00,0.00,0.00,1,1
03371,300000470,1.00,6022.80,6143.90,0.00,0.00,0.00,0.00,0.00,1,1
03371,300000471,1.00,6022.80,6143.90,0.00,0.00,0.00,0.00,0.00,1,1
651-020,300000472,16.00,62.20,62.20,0.00,0.00,0.00,0.00,0.00,1,1
662-413,300000473,7.00,528.40,528.40,0.00,0.00,0.00,0.00,0.00,1,1
0290005,300000475,2.00,52888.40,52888.40,0.00,0.00,0.00,0.00,0.00,1,1
S-259616,300000477,3.00,106.30,106.30,0.00,0.00,0.00,0.00,0.00,1,1
07721,300000478,12.00,246.80,251.80,0.00,0.00,0.00,0.00,0.00,1,1
00573,300000481,24.00,335.00,341.70,0.00,0.00,0.00,0.00,0.00,1,1
10532,300000483,7.00,703.50,717.60,0.00,0.00,0.00,0.00,0.00,1,1
24044,300000484,0.00,9675.90,9870.50,0.00,0.00,0.00,0.00,0.00,1,1
23674,300000485,1.00,2172.20,2215.80,0.00,0.00,0.00,0.00,0.00,1,1
662-617,300000488,2.00,528.40,528.40,0.00,0.00,0.00,0.00,0.00,1,1
04411,300000489,1.00,4570.00,4661.90,0.00,0.00,0.00,0.00,0.00,1,1
23750,300000490,3.00,2369.70,2417.30,0.00,0.00,0.00,0.00,0.00,1,1
S-259618,300000493,9.00,106.30,106.30,0.00,0.00,0.00,0.00,0.00,1,1
662-529,300000494,0.00,528.40,528.40,0.00,0.00,0.00,0.00,0.00,1,1
02601,300000495,2.00,40876.00,41697.80,0.00,0.00,0.00,0.00,0.00,1,1
03641,300000496,2.00,16093.70,16417.30,0.00,0.00,0.00,0.00,0.00,1,1
143-945A,300000497,3.00,3125.50,3125.50,0.00,0.00,0.00,0.00,0.00,1,1
662-421,300000498,6.00,528.40,528.40,0.00,0.00,0.00,0.00,0.00,1,1
0290012,300000500,1.00,111620.60,111620.60,0.00,0.00,0.00,0.00,0.00,1,1
665-2312,300000501,2.00,698.70,698.70,0.00,0.00,0.00,0.00,0.00,1,1
802342,300000502,6.00,5282.40,5599.50,0.00,0.00,0.00,0.00,0.00,1,1
540-100,300000505,20.00,55.80,55.80,0.00,0.00,0.00,0.00,0.00,1,1
661-1219,300000506,2.00,698.70,698.70,0.00,0.00,0.00,0.00,0.00,1,1
K-11023,300000507,16.00,1419.70,1419.70,0.00,0.00,0.00,0.00,0.00,1,1
SCW-1648-AF,300000510,1.00,26159.20,28276.80,0.00,0.00,0.00,0.00,0.00,1,1
VBR-25,300000512,0.00,263.40,159.70,0.00,0.00,0.00,0.00,0.00,1,1
NNR-2506,300000513,13.00,26.60,28.70,0.00,0.00,0.00,0.00,0.00,1,1
759-380,300000514,2.00,734.00,734.00,0.00,0.00,0.00,0.00,0.00,1,1
01721,300000515,62.00,148.10,151.10,0.00,0.00,0.00,0.00,0.00,1,1
K-210955,300000517,3.00,7968.50,7968.50,0.00,0.00,0.00,0.00,0.00,1,1
697-619,300000518,0.00,698.70,698.70,0.00,0.00,0.00,0.00,0.00,1,1
759-055,300000519,0.00,15340.90,15340.90,0.00,0.00,0.00,0.00,0.00,1,1
05540,300000520,8.00,6368.40,6496.40,0.00,0.00,0.00,0.00,0.00,1,1
103-625,300000521,1.00,604.80,604.80,0.00,0.00,0.00,0.00,0.00,1,1
662-219,300000523,6.00,528.40,528.40,0.00,0.00,0.00,0.00,0.00,1,1
651-139,300000524,0.00,2049.60,2049.60,0.00,0.00,0.00,0.00,0.00,1,1
704-300A,300000525,0.00,3006.60,3006.60,0.00,0.00,0.00,0.00,0.00,1,1
0551540,300000526,1.00,6314.20,6314.20,0.00,0.00,0.00,0.00,0.00,1,1
K-200050,300000527,229.00,50.50,50.50,0.00,0.00,0.00,0.00,0.00,1,1
02613,300000528,13.00,789.90,805.80,0.00,0.00,0.00,0.00,0.00,1,1
662-115,300000529,9.00,528.40,528.40,0.00,0.00,0.00,0.00,0.00,1,1
662-321,300000530,48.00,528.40,528.40,0.00,0.00,0.00,0.00,0.00,1,1
05068,300000532,12.00,1110.80,1133.10,0.00,0.00,0.00,0.00,0.00,1,1
0538215,300000534,17.00,1764.70,1764.70,0.00,0.00,0.00,0.00,0.00,1,1
944-620,300000536,6.00,4392.90,4392.90,0.00,0.00,0.00,0.00,0.00,1,1
COMMIL2525,300000537,2.00,2624.10,2624.10,0.00,0.00,0.00,0.00,0.00,1,1
236-031A,300000538,9.00,1101.20,1101.20,0.00,0.00,0.00,0.00,0.00,1,1
662-511,300000539,4.00,528.40,528.40,0.00,0.00,0.00,0.00,0.00,1,1
430-362,300000540,4.00,280.70,280.70,0.00,0.00,0.00,0.00,0.00,1,1
NNR-1302,300000541,17.00,7.00,7.50,0.00,0.00,0.00,0.00,0.00,1,1
S-259611,300000542,6.00,105.30,105.30,0.00,0.00,0.00,0.00,0.00,1,1
930-007,300000543,29.00,685.70,685.70,0.00,0.00,0.00,0.00,0.00,1,1
704-289,300000544,3.00,603.60,603.60,0.00,0.00,0.00,0.00,0.00,1,1
S-391631,300000546,1.00,3560.40,3560.40,0.00,0.00,0.00,0.00,0.00,1,1
S-373354,300000547,2.00,533.80,533.80,0.00,0.00,0.00,0.00,0.00,1,1
S-331020V,300000548,11.00,220.60,220.60,0.00,0.00,0.00,0.00,0.00,1,1
23232,300000554,14.00,0.00,669.10,0.00,0.00,0.00,0.00,0.00,1,1
22388,300000555,1.00,0.00,1359.70,0.00,0.00,0.00,0.00,0.00,1,1
01421,300000556,2.00,5536.20,5647.50,0.00,0.00,0.00,0.00,0.00,1,1
15781,300000560,1.00,6516.80,6647.50,0.00,0.00,0.00,0.00,0.00,1,1
FLG-670,300000563,1.00,5893.20,6246.90,0.00,0.00,0.00,0.00,0.00,1,1
S-140756,300000565,19.00,55.60,55.60,0.00,0.00,0.00,0.00,0.00,1,1
661-721,300000566,3.00,528.40,528.40,0.00,0.00,0.00,0.00,0.00,1,1
23819,300000569,1.00,1036.70,1057.60,0.00,0.00,0.00,0.00,0.00,1,1
