sku,qty,price,group_price:Lista 2,group_price:Lista 3,group_price:Lista 4,group_price:Lista 5,group_price:Lista 6,group_price:Lista 7,use_config_backorders,status
28820,0.00,1464.80,1494.10,0.00,0.00,0.00,0.00,0.00,1,1
CT-4-GH,0.00,957.60,1035.10,0.00,0.00,0.00,0.00,0.00,1,1
00778,1.00,1184.81,1208.63,0.00,0.00,0.00,0.00,0.00,1,1
CNA080,3.00,138.00,138.00,0.00,0.00,0.00,0.00,0.00,1,1
20822020,8.00,574.60,574.60,0.00,0.00,0.00,0.00,0.00,1,1
S-83439,7.00,240.52,240.52,0.00,0.00,0.00,0.00,0.00,1,1
MPE02,0.00,713.60,771.40,0.00,0.00,0.00,0.00,0.00,1,1
CG1167,2.00,1039.54,1039.54,0.00,0.00,0.00,0.00,0.00,1,1
0523220A,0.00,3983.70,3983.70,0.00,0.00,0.00,0.00,0.00,1,1
BAL-1,2.00,46.30,46.30,0.00,0.00,0.00,0.00,0.00,1,1
W-0241408,4.00,249.18,254.16,0.00,0.00,0.00,0.00,0.00,1,1
8754-8260,0.00,219.37,219.37,0.00,0.00,0.00,0.00,0.00,1,1
9050,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1,1
641-209,0.00,0.40,0.40,0.00,0.00,0.00,0.00,0.00,1,1
03318,4.00,9.87,10.07,0.00,0.00,0.00,0.00,0.00,1,1
89047530,0.00,15109.60,15109.60,0.00,0.00,0.00,0.00,0.00,1,1
761-295,1.00,3697.10,3697.10,0.00,0.00,0.00,0.00,0.00,1,1
PRO-1049,4.00,4.40,4.40,0.00,0.00,0.00,0.00,0.00,1,1
BAL-14,0.00,201.60,217.92,0.00,0.00,0.00,0.00,0.00,1,1
EXTADV-C-18,0.00,27364.80,29006.70,0.00,0.00,0.00,0.00,0.00,1,1
530-323,0.00,0.30,0.40,0.00,0.00,0.00,0.00,0.00,1,1
700-211,3.00,1187.00,1187.00,0.00,0.00,0.00,0.00,0.00,1,1
QM-605,0.00,21993.00,23313.20,0.00,0.00,0.00,0.00,0.00,1,1
350-517,5.00,980.30,980.30,0.00,0.00,0.00,0.00,0.00,1,1
541-413,0.00,0.50,0.50,0.00,0.00,0.00,0.00,0.00,1,1
PRO-4046,8.00,3.06,3.06,0.00,0.00,0.00,0.00,0.00,1,1
S-342017,1.00,379.00,379.00,0.00,0.00,0.00,0.00,0.00,1,1
762-138A,0.00,582.64,582.64,0.00,0.00,0.00,0.00,0.00,1,1
70-060201,6.00,293.50,293.50,0.00,0.00,0.00,0.00,0.00,1,1
235-117A,0.00,60863.30,60863.30,0.00,0.00,0.00,0.00,0.00,1,1
641-611SC5,0.00,0.40,0.40,0.00,0.00,0.00,0.00,0.00,1,1
800-690,1.00,5664.90,5664.90,0.00,0.00,0.00,0.00,0.00,1,1
CNB-ST101038,0.00,49.10,53.10,0.00,0.00,0.00,0.00,0.00,1,1
434-641,0.00,3606.30,3606.30,0.00,0.00,0.00,0.00,0.00,1,1
780000,7.00,1769.10,1769.10,0.00,0.00,0.00,0.00,0.00,1,1
H28451-ZH8-MX,0.00,75.60,81.72,0.00,0.00,0.00,0.00,0.00,1,1
341-015,5.00,1594.40,1594.40,0.00,0.00,0.00,0.00,0.00,1,1
S-87011290,1.00,1271.10,1271.10,0.00,0.00,0.00,0.00,0.00,1,1
641-436,0.00,0.40,0.40,0.00,0.00,0.00,0.00,0.00,1,1
341-028,7.00,1594.41,1594.41,0.00,0.00,0.00,0.00,0.00,1,1
20433,0.00,29611.50,30203.70,0.00,0.00,0.00,0.00,0.00,1,1
PRO-7010,0.00,569.50,569.50,0.00,0.00,0.00,0.00,0.00,1,1
03252,4.00,14.80,15.10,0.00,0.00,0.00,0.00,0.00,1,1
802427,5.00,301.80,319.92,0.00,0.00,0.00,0.00,0.00,1,1
